价格（￥）,名称,sku,药品通用名,有效期,药品分类,剂型,储存条件,使用剂量,适用症/功能主治,不良反应,儿童用药,老年用药,禁忌,批准文号
￥14.80,江中 健胃消食片64片成人 胃药 肠胃消化 健脾胃 消食健胃片 脾胃虚弱 胃胀气肚子胀气 食欲不振,1E+11,健胃消食片,24,（非处方药）中成药,片剂,密封,一次3片，一日3次,本品用于脾胃虚弱所致的食积，症见不思饮食、嗳腐酸臭、脘腹胀满；消化不良见上述证候者。,尚不明确。,未知,未知,尚不明确。,国药准字Z20013220
￥3.60,百灵鸟 贵州百灵 维C银翘片24片 感冒咳嗽 清热解毒 外感风热 流行性感冒 发热头痛 咳嗽口干 咽喉疼痛,3035514,维C银翘片,24,（非处方药）中成药,片剂,"遮光,密封",详见说明书,本品用于外感风热所致的流行性感冒，症见发热、头痛、咳嗽、口干、咽喉疼痛。,可见困倦、嗜睡、口渴、虚弱感；偶见皮疹、荨麻疹、药热及粒细胞减少，过敏性休克、重症多形红斑型药疹、大疱性表皮松懈症；长期大量用药会导致肝肾功能异常。,未知,未知,严重肝肾功能不全者禁用。,国药准字Z52020455
￥13.90,"已购买商品	
999 三九抗病毒口服液 10ml*10支  清热祛湿 凉血解毒 用于风热感冒 流感 合剂",1.00008E+11,抗病毒口服液,24,（非处方药）中成药,合剂,密封,详见说明书,本品用于风热感冒、流感。,尚不明确。,未知,未知,孕妇，哺乳期禁用。,国药准字Z33020518
￥9.90,白云山 感冒灵颗粒10g*9袋 解热镇痛 头痛 发热 鼻塞 流涕 咽痛,1.00013E+11,感冒灵颗粒,24,（非处方药）中成药,颗粒剂,密封,开水冲服。一次10克，一日3次。,本品用于感冒引起的头痛，发热，鼻塞，流涕，咽痛。,偶见皮疹，荨麻疹，药热及粒细胞减少；可见困倦、嗜睡、虚弱感，长期大量用药会导致肝肾功能异常。,未知,未知,严重肝肾功能不全者禁用。,国药准字Z44021754
￥39.00,孚诺 复方多黏菌素B软膏10g支/盒,4908207,复方多黏菌素B软膏,36,（处方药）化学药制剂,软膏剂,密闭保存,未知,未知,未知,未知,详见说明书,详见说明书,国药准字H20061269
￥13.90,999三九感冒灵颗粒10g*9袋感冒药解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛,3142374,感冒灵颗粒,24,（非处方药）中成药,颗粒剂,密封,开水冲服。一次10g（1袋），一日3次。,本品用于感冒引起的头痛，发热，鼻塞，流涕，咽痛。,偶见皮疹，荨麻疹，药热及粒细胞减少；可见困倦、嗜睡、虚弱感，长期大量用药会导致肝肾功能异常。,未知,未知,严重肝肾功能不全者禁用。,国药准字Z44021940
￥21.90,白云山 小柴胡颗粒 10克*10袋  解表散热 疏肝和胃 食欲不振 口苦咽干,2943738,小柴胡颗粒,24,（非处方药）中成药,颗粒剂,密封。,一次1-2袋，一日3次,解表散热，疏肝和胃。用于外感病，邪犯少阳证，症见寒热往来、胸胁苦满、食欲不振、心烦喜呕、口苦咽干。,尚不明确。,未知,未知,尚不明确。,国药准字Z44020211
￥14.40,999 三九板蓝根颗粒10g*20袋 清热解毒 凉血利咽 咽喉肿痛 急性扁桃体炎,3148922,板蓝根颗粒,24,（非处方药）中成药,颗粒剂,密封,详见说明书,清热解毒，凉血利咽。其他详见说明书。,尚不明确。,未知,未知,详见说明书,国药准字Z44021520
￥26.00,"已购买商品	
右美舒坦 复方氢溴酸右美沙芬糖浆 100ml 白云山成人止咳糖浆感冒咳嗽化痰祛痰润喉咳嗽药支气管炎",1.00022E+11,复方氢溴酸右美沙芬糖浆,24,（非处方药）化学药制剂,糖浆剂,遮光，密闭，置阴凉处（不超过20℃）保存。,未知,本品用于上呼吸道感染（如普通感冒和流行性感冒）、支气管炎等引起的咳嗽、咳痰。,可见头晕、头痛、嗜睡、易激动、嗳气、食欲缺乏、便秘、恶心、皮肤过敏等，停药后上述反应可自行消失。,未知,未知,详见说明书,国药准字H20066647
￥13.90,999 三九感冒灵颗粒 10g*9袋解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛,1.00014E+11,感冒灵颗粒,24,（非处方药）中成药,颗粒剂,密封,一次10克（1袋），一日三次,解热镇痛。用于感冒引起的头痛，发热，鼻塞，流涕，咽痛等,偶见皮疹，荨麻疹，药热及粒细胞减少；可见困倦、嗜睡、虚弱感，长期大量用药会导致肝肾功能异常。,未知,未知,严重肝肾功能不全者禁用。,国药准字Z44021940
￥18.50,感康 复方氨酚烷胺片18片 成人感冒发热头痛鼻塞流涕打喷嚏咽痛含对乙酰氨基酚,8535660,复方氨酚烷胺片,36,（非处方药）化学药制剂,片剂,密闭，在阴凉干燥处保存（不超过20℃）。,详见说明书,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,有时有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。,国药准字H22026193
￥9.90,快克 复方氨酚烷胺胶囊10粒 缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的...,3035512,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉（不超过20℃）干燥处。,口服。成人，一次1粒，一日2次。,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,偶尔有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用；对本品过敏者禁用,国药准字H33020485
￥1.60,新和成 福元 红霉素软膏1% *10g 用于脓疱疮等化脓性皮肤病、溃疡面的感染和寻常痤疮,7369875,红霉素软膏,60,（非处方药）化学药制剂,软膏剂,密闭，在阴凉干燥处（不超过20℃）保存,详见说明书,详见说明书。,偶见刺激症状和过敏反应。,未知,未知,尚不明确。,国药准字H34020379
￥12.00,白云山 小柴胡颗粒 10克*6袋（解表散热 疏肝和胃 食欲不振 口苦咽干）,1.0005E+11,小柴胡颗粒,24,（非处方药）中成药,颗粒剂,密封。,详见说明书。,解表散热，疏肝和胃。详见说明书且遵医嘱使用。,未知,未知,未知,未知,国药准字Z44020211
￥13.50,北京同仁堂 六味地黄丸（水蜜丸）360丸 遗精盗汗腰膝酸软,1.00012E+11,六味地黄丸,48,（非处方药）中成药,丸剂,密封,详见说明书,本品用于肾阴亏损，头晕耳鸣，腰膝酸软，骨蒸潮热，盗汗遗精。,尚不明确。,未知,未知,尚不明确。,国药准字Z11021283
￥9.00,三清山 川贝枇杷糖浆 150m 清热宣肺化痰止咳  咳嗽痰黄 咽喉肿痛胸闷胀痛 感冒 支气管炎  咳嗽药止咳药,1.00036E+11,川贝枇杷糖浆,24,（非处方药）中成药,糖浆剂,密封，置阴凉处。,未知,清热宣肺，化痰止咳。详见说明书,未知,未知,未知,未知,国药准字Z20055289
￥1.50,恒健 硝酸益康唑乳膏 10g:0.1g 10g  用于皮肤念珠菌病的治疗 亦可用于治疗体癣 股癣 足癣 花斑癣,8640294,硝酸益康唑乳膏,24,（非处方药）化学药制剂,乳膏剂,密封保存,未知,皮肤念珠菌病，体癣、股癣、足癣、花斑癣。,"常见：烧灼感。
偶见：瘙痒、皮疹等过敏反应。",未知,未知,尚不明确。,国药准字H44023932
￥9.90,葵花 蒲地蓝消炎片 0.24g*40片 清热解毒 抗炎消肿 用于 疖肿 咽炎 扁桃腺炎,1.00034E+11,蒲地蓝消炎片,36,（非处方药）中成药,片剂,密封。,口服，一次5~8片，一日4次，小儿酌减。,清热解毒，抗炎消肿。用于疖肿、咽炎、扁桃体炎。,详见说明书。,未知,未知,对本品及所含成份过敏者禁用。,国药准字Z23020014
￥10.80,以岭 连花清瘟胶囊 0.35g*24粒 连花清瘟 清瘟解毒 宣肺泄热 流行性感冒 发烧或发热头痛咳嗽,2943430,连花清瘟胶囊,30,（非处方药）中成药,胶囊剂,"密封,置阴凉处(不超过20℃)",详见说明书,本品用于治疗流行性感冒属热毒袭肺证，症见发热或高热，恶寒，肌肉酸痛，鼻塞流涕，咳嗽，头痛，咽干咽痛，舌偏红，苔黄或黄腻等。,详见说明书,未知,未知,详见说明书,国药准字Z20040063
￥7.00,羚锐 壮骨麝香止痛膏7cm*10cm*10贴 祛风湿 活血止痛 用于风湿关节痛 肌肉痛 扭伤 膏药贴,3365302,壮骨麝香止痛膏,24,（非处方药）中成药,贴膏剂,密封，置阴凉干燥处。,详见说明书,本品用于风湿关节、肌肉痛、扭伤。,详情见说明书,未知,未知,1.孕妇禁用。2.婴幼儿禁用。3.皮肤破溃、皮损或感染处禁用。4.对本品及所含成份（包括辅料）过敏者禁用。5.对橡胶膏过敏者禁用。,国药准字Z41020300
￥7.50,方盛 蒲地蓝消炎片54片清热解毒抗炎消肿用于疖肿咽炎扁桃腺炎感冒咽喉痛解热镇痛中成药,1.0002E+11,蒲地蓝消炎片,24,（非处方药）中成药,片剂,遮光，密封,未知,清热解毒，抗炎消肿。用于疖肿、咽炎、扁桃腺炎。,该制剂有以下不良反应报告：恶心、呕吐、腹胀、腹痛、腹泻、头晕、乏力等；皮疹、瘙痒等过敏反应。,未知,未知,详见说明书,国药准字Z20043422
￥1.20,福元  阿昔洛韦乳膏10克：0.3克（3%）*10g/支 用于单纯疱疹或带状疱疹感染,1.00011E+11,阿昔洛韦乳膏,24,（非处方药）化学药制剂,乳膏剂,密封，在凉暗干燥处（避光并不超过20℃）保存。,详见说明书,单纯疱疹；带状疱疹感染,可见轻度疼痛、灼痛、刺痛、瘙痒以及皮疹等。,未知,未知,尚不明确。,国药准字H20055164
￥2.00,蜀中 依科 维生素C片 0.1g*100片 用于预防坏血病 也可用于各种急慢性传染疾病及紫癜等的辅助治疗,1.00051E+11,维生素C片,24,（非处方药）化学药制剂,片剂,遮光，密封保存。,口服。用于补充维生素C：成人一日1片。用于治疗维生素C缺乏：成人一次1~2片，一日3次；儿童一日1~3片。至少服2周。,用于预防坏血病，也可用于各种急慢性传染疾病及紫癜等的辅助治疗。,1.长期服用每日2~3克可引起停药后坏血病，故宜逐渐减量停药。详见说明书。,未知,未知,尚不明确。,国药准字H51020251
￥1.70,五洲 五洲 食母生片0.2g*80片,1.00016E+11,食母生片,24,（非处方药）化学药制剂,片剂,密闭，在干燥处保存。,未知,食欲缺乏、消化不良。,偶见：过量服用可致腹泻。,未知,未知,尚不明确。,国药准字H44024109
￥2.00,立卫克 奥美拉唑肠溶胶囊 20mg*14粒/盒,4148238,奥美拉唑肠溶胶囊,24,（处方药）化学药制剂,胶囊剂,遮光，密封，在干燥处（10~30℃）保存。,未知,未知,1、本品耐受性良好。2、常见不良反应是腹泻、头痛、恶心、腹痛、胃肠胀气及便秘。3、偶见血清氨基转移酶（ALT，AST）增高、皮疹、眩晕、嗜睡、失眠等。4、这些不良反应通常是轻微的，可自动消失，与剂量无关。5、长期治疗未见严重的不良反应，但在有些病例中可发生胃粘膜细胞增生和萎缩性胃炎。,尚无儿童用药经验，婴幼儿禁用。,未进行该项实验且无可靠参考文献。,详见说明书。,国药准字H20056577
￥49.90,【新客推荐装】舒尔佳 奥利司他胶囊减肥药7粒*120mg,1.00011E+11,奥利司他胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，在25℃以下保存。,详见说明书。,详见说明书。,详见说明书。,未知,未知,详见说明书。,国药准字H20143119
￥9.90,快克 复方氨酚烷胺胶囊10粒 头痛鼻塞 流涕 发热 咽痛,1.00018E+11,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉（不超过20℃）干燥处,口服。成人，一次1粒，一日2次。,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,偶尔有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。,国药准字H33020485
￥4.90,[葵花药业] 人工牛黄甲硝唑胶囊0.2g:5mg*24粒/盒,1.00035E+11,人工牛黄甲硝唑胶囊,36,（处方药）化学药制剂,胶囊剂,遮光，密闭保存。,未知,未知,常见：胃肠道反应、可逆性粒细胞减少、过敏反应、头痛、眩晕、晕厥、发热、阴道念珠菌感染等,儿童应慎用并减量使用。,老年人由于肝功能减退，应用本品时药动学有所改变，需监测血药浓度。,未知,国药准字H13023875
￥4.80,叶开泰 健民咽喉片 0.195g*45片 清利咽喉 养阴生津 解毒泻火 咽喉肿痛失音呼吸道炎症,1.00015E+11,健民咽喉片,36,（非处方药）中成药,片剂,密封。,详见说明书,本品用于热盛津伤、热毒内盛所致的咽喉肿痛、失音及上呼吸道炎症。,尚不明确。,未知,未知,详见说明书,国药准字Z42021798
￥8.50,江中 利活 乳酸菌素片36片益生菌儿童装 肠胃消化用药 便秘药 拉肚子 小儿腹泻 肠炎 通便药 调理肠胃,1.00011E+11,乳酸菌素片,24,（非处方药）化学药制剂,片剂,密闭，在凉暗处存放。,详见说明书,本品用于肠内异常发酵、消化不良、肠炎和小儿腹泻。,尚不明确。,未知,未知,尚不明确。,国药准字H20059903
￥3.90,"
澹生堂守诚堂制药万痛筋骨贴肩周炎颈椎病腰间盘风湿关节腰腿痛药贴远红外舒筋活络i止痛膏贴经典包装",1.00038E+11,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥21.90,白云山小柴胡颗粒10袋,2943738,小柴胡颗粒,24,（非处方药）中成药,颗粒剂,密封。,一次1-2袋，一日3次,解表散热，疏肝和胃。用于外感病，邪犯少阳证，症见寒热往来、胸胁苦满、食欲不振、心烦喜呕、口苦咽干。,尚不明确。,未知,未知,尚不明确。,国药准字Z44020211
￥6.50,[石药] 盐酸左氧氟沙星胶囊0.1g*24粒/盒,1.00036E+11,盐酸左氧氟沙星胶囊,24,（处方药）抗生素制剂,胶囊剂,遮光、密封保存。,未知,未知,常见：肌腱病和肌腱断裂；QT间期延长；过敏反应；其他严重并且有时致命的反应；中枢神经系统的影响；艰难梭菌相关性腹泻；周围神经病变；对血糖的干扰；光敏感性/光毒性,本品在婴幼儿及18岁以下青少年的安全性尚未确定。但本品用于数种幼龄动物时，可致关节病变。因此不宜用于18岁以下的小儿及青少年。,老年患者常有肾功能减退，因本品部分经肾排出，需减量应用。,详见说明书。,国药准字H20056031
￥10.50,恒医森 蒲地蓝消炎片0.31g*52片 消炎药去火清热解毒抗炎消肿消炎片成人感冒药喉咙痛咽炎扁桃体炎,1.00071E+11,蒲地蓝消炎片,36,（非处方药）中成药,片剂,密封。,口服。一次5~8片，一日4次，小儿酌减。,清热解毒，抗炎消肿。用于疖肿、咽炎、扁桃体炎。,未知,未知,未知,对本品及所含成份过敏者禁用。,国药准字Z20054338
￥7.00,999三九咽炎片 0.26g*12片*2板 养阴润肺 清热解毒 清利咽喉 镇咳止痒 用于慢性咽炎引起咽干咽痒刺激性咳嗽,1.00007E+11,咽炎片,18,（非处方药）中成药,片剂,密封,详见说明书,本品用于慢性咽炎引起咽干，咽痒，刺激性咳嗽。,尚不明确。,未知,未知,尚不明确,国药准字Z42021062
￥11.90,三金 桂林西瓜霜 桂林三金 3.5克 咽痛口舌生疮 急慢性咽炎 口腔溃疡 西瓜霜喷剂,2812135,桂林西瓜霜,36,（非处方药）中成药,散剂,密闭。,详见说明书,本品适用于风热上攻、肺胃热盛所致的乳蛾、喉痹、口糜，症见咽喉肿痛、喉核肿大、口舌生疮、牙龈肿痛或出血；急、慢性咽炎，扁桃体炎，口腔炎，口腔溃疡，牙龈炎见上述证候者及轻度烫伤（表皮未破）者。,尚不明确。,未知,未知,尚不明确。,国药准字Z45021599
￥10.00,东北制药 复方氨酚烷胺片 24片 缓解普通感冒及流行性感冒引起的发热头痛四肢酸痛打喷嚏流鼻涕鼻塞 咽痛,1.00061E+11,复方氨酚烷胺片,24,（非处方药）化学药制剂,片剂,密闭，在阴凉（不超过20℃）干燥处保存。,口服。成人，一次1片，一日2次。,适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状。,详情见说明书,未知,未知,详情见说明书,国药准字H21023729
￥62.90,万特力 吲哚美辛凝胶 35克 日本进口肌肉关节疼痛关节痛腱鞘炎跌打损伤扭伤外用药,1.00015E+11,吲哚美辛凝胶,36,（非处方药）化学药制剂,凝胶剂,遮光，密封，阴凉处保存。,详见说明书,本品适用于肌肉痛、肩部僵硬、腰痛、关节痛、腱鞘炎（手和腕部疼痛）、肘部疼痛（网球肘等）及跌打损伤、扭伤引起的疼痛。,涂药部位偶有发疹、发红、瘙痒、刺痛感、发热、干燥感等症状出现。,未知,未知,对本品过敏者，其他详见说明书,H20130224
￥16.18,云南白药创可贴1.5cm*2.3cm*100片止血镇痛消炎愈创用于小面积开放性创伤,2943876,云南白药创可贴,36,（非处方药）中成药,贴剂,密闭，置阴凉干燥处(不超过20℃)。,详见说明书,止血，镇痛，消炎，愈创。用于小面积开放性创伤。,详见说明书,未知,未知,1、孕妇禁用。2、对胶布、本品过敏者禁用。,国药准字Z20073016
￥62.00,[阿斯美] 复方甲氧那明胶囊60粒/瓶,4430644,复方甲氧那明胶囊,18,（处方药）化学药制剂,胶囊剂,遮光，密封保存。,未知,未知,详见说明书,详见说明书,详见说明书,详见说明书,国药准字H20033669
￥8.00,信龙炉甘石洗剂 100ml用于 急性瘙痒性皮肤病 湿疹痱子 皮肤瘙痒,2943878,炉甘石洗剂,24,（非处方药）化学药制剂,洗剂,密封保存,详情见说明书,用于急性瘙痒性皮肤病，如湿疹和痱子。,详情见说明书,未知,未知,详情见说明书,国药准字H31022790
￥1.80,成田制药 阿昔洛韦乳膏 3%*10g/支 用于单纯疱疹或带状疱疹感染,1.00061E+11,阿昔洛韦乳膏,24,（非处方药）化学药制剂,乳膏剂,密封，在凉暗（避光并不超过20℃）干燥处保存。,外用，一日4-6次，共7日具体情况遵医嘱,单纯疱疹；带状疱疹感染,可见轻度疼痛、灼痛、刺痛、瘙痒以及皮疹等。,未知,未知,尚不明确,国药准字H19999049
￥3.50,蜀中 复方氨酚烷胺片 10片 流行性感冒 发热 头痛 四肢酸痛 打喷嚏 流鼻涕 鼻塞 咽痛,1.00057E+11,复方氨酚烷胺片,24,（非处方药）化学药制剂,片剂,密闭，在阴凉（不超过20°C）干燥处保存。,详见说明书。,适用于普通感冒及流行性感冒引起的发热、头痛、四肢酸痛等症状。详见说明书且遵医嘱使用。,未知,未知,未知,未知,国药准字H20046523
￥29.80,3件8折】玉屏风口服液玉屏风散颗粒中成药儿童止汗药补气益气虚汗停颗粒含黄芪搭配生脉饮口服液12支,1E+11,玉屏风口服液,24,（非处方药）中成药,合剂（含口服液）,密封，置阴凉处（不超过20℃）,口服，一次10ml，一日3次。,本品用于表虚不固，自汗恶风，面色?白，或体虚易感风邪者。,尚不明确。,未知,未知,尚不明确。,国药准字Z36020540
￥17.90,西施兰夏露 乌洛托品溶液喷剂20ml 用于手足多汗及腋臭(狐臭),2812167,乌洛托品溶液,36,（非处方药）化学药制剂,其他,密封，在阴凉处保存。,未知,本品用于手足多汗及腋臭（狐臭）。,偶见皮肤刺激如烧灼感，或过敏反应如皮疹、瘙痒等。,未知,未知,对本品过敏的患者禁用，过敏体质慎用。皮肤破溃处禁用。,国药准字H41024617
￥1.80,成田制药 阿昔洛韦乳膏3% 10g 单纯疱疹或带状疱疹感染,3400326,阿昔洛韦乳膏,24,（非处方药）化学药制剂,乳膏剂,密封，在凉暗（避光并不超过20℃）干燥处保存。,外用，一日4-6次，共7日具体情况遵医嘱,单纯疱疹；带状疱疹感染,可见轻度疼痛、灼痛、刺痛、瘙痒以及皮疹等。,未知,未知,尚不明确,国药准字H19999049
￥24.00,星鲨维生素D滴剂 （胶囊型) 400单位*10粒*3板用于预防维生素D缺乏性佝偻病,5719696,维生素D滴剂,24,（非处方药）化学药制剂,滴剂,遮光，密封保存。,详见说明书,维生素D缺乏症，佝偻病。,其他：骨关节疼痛；肿胀；皮肤瘙痒；口唇干裂；发热；头痛；呕吐；便秘；腹泻；恶心等。,未知,未知,维生素D增多症、高钙血症、高磷血症伴肾性佝偻病、对本品过敏的患者禁用。过敏体质慎用。,国药准字H35021450
￥3.00,亚宝 三黄清热解毒片 20片 清热解毒 泻火通便 口鼻生疮 牙龈肿痛,3195768,三黄片,36,（非处方药）中成药,片剂,密封。,未知,清热解毒，泻火通便。本品用于三焦热盛所致的目赤肿痛、口鼻生疮、咽喉肿痛、牙龈肿痛、心烦口渴、尿黄便秘。,偶有恶心、呕吐、皮疹和药热，停药后消失。,未知,未知,尚不明确。,国药准字Z14021519
￥16.00,快克 复方氨酚烷胺胶囊16粒 感冒药解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛四肢酸痛,1.00012E+11,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉（不超过20℃）干燥处。,口服，成人，一次1粒，一日2次。,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,有时有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。,国药准字H33020485
￥7.00,【年销10亿贴】羚锐 壮骨麝香止痛膏10贴 用于风湿关节痛,3365302,壮骨麝香止痛膏,24,（非处方药）中成药,贴膏剂,密封，置阴凉干燥处。,详见说明书,本品用于风湿关节、肌肉痛、扭伤。,详情见说明书,未知,未知,1.孕妇禁用。2.婴幼儿禁用。3.皮肤破溃、皮损或感染处禁用。4.对本品及所含成份（包括辅料）过敏者禁用。5.对橡胶膏过敏者禁用。,国药准字Z41020300
￥1.50,三益 尿素乳膏10g：1g*10g/支,1.00036E+11,尿素乳膏,36,（非处方药）化学药制剂,乳膏剂,密封，在阴凉处（不超过20℃）保存。,未知,用于治疗手足皲裂；也可以用于角化型手足藓引起的皲裂。,偶见皮肤刺激或不良反应。,未知,未知,尚不明确。,国药准字H34020311
￥14.80,江中 利活乳酸菌素片64片益生菌（成人儿童通用） 肠胃消化 便秘药 调理肠胃 调节菌群 腹泻 拉肚子,8676590,乳酸菌素片,24,（非处方药）化学药制剂,片剂,密闭，在凉暗处（避光并不超过20℃）存放,详见说明书。,本品用于肠内异常发酵、消化不良、肠炎和小儿腹泻。,尚不明确。,未知,未知,尚不明确。,国药准字H20059905
￥3.90,"
澹生堂守诚堂制药小黑膏远红外风湿关节炎痛贴腰椎颈椎肩周疼痛冷敷贴大药房花红药业跌打损伤小黑膏",1.00038E+11,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
