,价格（￥）,名称,sku
32,￥6.00,[石药] 阿莫西林胶囊0.25g*50粒/盒,4001049
33,￥7.50,方盛 蒲地蓝消炎片54片清热解毒抗炎消肿用于疖肿咽炎扁桃腺炎感冒咽喉痛解热镇痛中成药,100020193912
34,￥4.50,百灵鸟 黄连上清片0.3g*24片*2板/盒 散风清热 泻火止痛牙齿疼口舌生疮咽喉痛耳鸣大便秘结小便短赤贵州百灵,3150330
35,￥2.50,东北制药 维生素C片100mg*100片 预防坏血病急慢性传染疾病紫癜,3029091
36,￥76.00,亿活布拉氏酵母菌散0.25g*10袋儿童腹泻拉肚子止泻急性肠胃炎成人调理肠胃菌群失调,100053642164
37,￥18.00,敖东安神补脑液每支装10毫升*10支 生精补髓 益气养血 强脑安神 头晕乏力健忘失眠神经衰弱,2811933
38,￥15.50,修正 二丁颗粒 20克*10袋 清热解毒  咽喉肿痛,2864731
39,￥8.80,三金西瓜霜润喉片0.6g*36片牙龈肿痛咽喉肿痛口舌生疮口腔溃疡用药,100000916108
40,￥8.00,【邦静 】强力枇杷露 120ml*1瓶 用于支气管炎咳嗽 止咳祛痰 养阴敛肺 ,100005483107
41,￥21.69,息斯敏氯雷他定片12片鼻炎过敏药缓解过敏性鼻炎鼻塞结膜炎皮肤过敏瘙痒慢性荨麻疹儿童鼻炎抗过敏药喷嚏流涕,6254326
42,￥10.60,恒医森蒲地蓝消炎片52片 镇痛消炎药浦地消炎片成人感冒药喉咙痛咽炎,100041828260
43,￥13.90,999 三九感冒灵颗粒 10g*9袋解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛,100013796372
44,￥1.80,成田制药 阿昔洛韦乳膏3% 10g 单纯疱疹或带状疱疹感染,3400326
45,￥17.80,白云山 板蓝根颗粒 10g*20袋 清热解毒 凉血 咽喉肿痛 口咽干燥 急性扁桃体炎,100006094403
46,￥14.40,999 三九板蓝根颗粒10g*20袋 清热解毒 凉血利咽 咽喉肿痛 急性扁桃体炎,3148922
47,￥19.90,芬必得 布洛芬缓释胶囊 0.3g*24粒 缓解牙疼偏头痛神经痛 痛经 中美史克,100017559686
48,￥8.90,999三九小儿止咳糖浆120ML 咳嗽药儿童祛痰镇咳止咳化痰,3070071
49,￥2.00,白云山 风油精 3ml/盒,100014489656
50,￥5.00,克极  三黄片 100片 清热解毒 泻火通便三焦热盛所致的目赤肿痛 口鼻生疮 咽喉肿痛 牙龈肿痛 心烦口渴 尿黄 便秘,100065742709
51,￥62.00,[阿斯美] 复方甲氧那明胶囊60粒/瓶,4430644
52,￥2.00,白云山复方醋酸地塞米松乳膏10g:7.5mg  局限性瘙痒症 神经性皮炎,3150404
53,￥8.00,信龙炉甘石洗剂 100ml用于 急性瘙痒性皮肤病 湿疹痱子 皮肤瘙痒,2943878
54,￥29.90,仁和 益气养血口服液13支 补血口服液贫血女补气补血,100078349410
55,￥2.80,SAIRUI大山楂丸 9克*10丸 上海赛睿 开胃消食 食积内停 食欲不振 消化不良 脘腹胀闷,100039608363
56,￥12.00,恒医森布洛芬缓释胶囊27粒感冒退烧药感冒药成人止痛药缓解头痛经牙疼止疼片解热镇痛,100050251057
57,￥6.50,联力舒坦 盐酸氨溴索口服溶液  100ml:0.3g*100ml/瓶/盒 ,100040878254
58,￥4.90,[葵花药业] 人工牛黄甲硝唑胶囊0.2g:5mg*24粒/盒,100034514655
59,￥10.80,[白云山] 阿莫西林胶囊0.25g*50粒/盒,4000969
60,￥78.90,【自营】米雅酪酸梭菌活菌散益生菌成人婴幼儿童调理肠胃肠道菌群消化用药,100091620838
61,￥13.50￥12.90,[芙原] 积雪苷霜软膏2.5%*20g/盒,4525047
62,￥4.80,叶开泰 健民咽喉片 0.195g*45片 清利咽喉 养阴生津 解毒泻火 咽喉肿痛失音呼吸道炎症,100015442375
63,￥9.90,葵花 感冒灵颗粒 10克*10袋 解热镇痛 用于感冒引起的头痛 发热 鼻塞 流涕 咽痛,100006160184
64,￥1.50,三益 尿素乳膏10g：1g*10g/支,100035885643
65,￥3.00,[石药] 阿莫西林胶囊0.25g*20粒/盒,4698422
66,￥95.50,乳果糖300l-大药房,100041176360
67,￥2.70,恒健 消炎镇痛膏 4cm*6cm*10贴  扭伤 风湿痛 肩痛,4862380
68,￥13.90,999 三九抗病毒口服液 10ml*10支 清热祛湿 凉血解毒 用于风热感冒 流感,100005480555
69,￥48.00,雷诺考特布地奈德鼻喷雾剂32μg*120喷鼻炎喷剂鼻炎药预防治疗过敏性鼻炎鼻塞布地奈德混悬液雾化液儿童鼻炎,100035212847
70,￥1.80,成田制药 阿昔洛韦乳膏 3%*10g/支 用于单纯疱疹或带状疱疹感染,100061003576
71,￥5.50,德上 小柴胡颗粒 10g*10袋/盒 解表散热 疏肝和胃外感病 邪犯少阳症 寒热往来 胸胁苦满 食欲不振 心烦喜呕 口苦咽干,100067106804
72,￥15.00,999盐酸特比萘芬喷雾止痒防复发双重抗菌大容量治脚气,100035276788
73,￥6.50,[石药] 盐酸左氧氟沙星胶囊0.1g*24粒/盒,100036113708
74,￥7.00,999三九咽炎片 0.26g*12片*2板 养阴润肺 清热解毒 清利咽喉 镇咳止痒 用于慢性咽炎引起咽干咽痒刺激性咳嗽,100007460333
75,￥10.50,恒医森 蒲地蓝消炎片0.31g*52片 消炎药去火清热解毒抗炎消肿消炎片成人感冒药喉咙痛咽炎扁桃体炎,100070973542
76,￥30.80,[希舒美] 阿奇霉素干混悬剂0.1g*6袋/盒,3277153
77,￥11.90,三金 桂林西瓜霜 桂林三金 3.5克 咽痛口舌生疮 急慢性咽炎 口腔溃疡 西瓜霜喷剂,2812135
78,￥64.90,盐酸特比萘芬喷雾剂70ml 国药准字治疗脚气手足癣快速止痒脱皮烂脚丫水泡,100073516131
79,￥24.00,星鲨维生素D滴剂 （胶囊型) 400单位*10粒*3板用于预防维生素D缺乏性佝偻病,5719696
80,￥9.90,快克 复方氨酚烷胺胶囊10粒 头痛鼻塞 流涕 发热 咽痛,100018015592
81,￥1.99,六棉牌清凉喉片16粒 风热感冒 咽喉肿痛 清热解毒 利咽止痛 急性咽炎,2812181
82,￥18.90,丽芙阿达帕林凝胶16g/盒去黑头修复毛孔收缩毛孔粗大祛痘印修复淡化痘印痘坑修复药膏去闭口粉刺维a酸乳膏,100022910792
83,￥3.50,蜀中 复方氨酚烷胺片 10片 流行性感冒 发热 头痛 四肢酸痛 打喷嚏 流鼻涕 鼻塞 咽痛,100057446402
84,￥9.90,999小儿氨酚黄那敏颗粒6g*10袋,2945954
85,￥13.00,[艾战] 他达拉非片20mg*4片/盒,100062026620
86,￥77.00,"京东国际	
中国香港 黄道益活络油 药油保税发货舒经活络跌打损伤腰颈疼止痛港版50ml",100009126850
87,￥14.80,江中 利活乳酸菌素片64片益生菌（成人儿童通用） 肠胃消化 便秘药 调理肠胃 调节菌群 腹泻 拉肚子,8676590
88,￥16.18,云南白药创可贴1.5cm*2.3cm*100片止血镇痛消炎愈创用于小面积开放性创伤,2943876
89,￥16.80,白云山 板蓝根颗粒10g*20袋 清热解毒 凉血利咽 口咽干燥 咽喉肿痛,2943884
90,￥14.90,【9万+人已购】999新三九胃泰养胃舒颗粒 胃药胃炎胃痛胃胀,3538540
91,￥52.00,[泽普思] 氟比洛芬凝胶贴膏40mg*6贴/盒,4886721
92,￥22.00,以岭 连花清瘟胶囊 0.35g*48粒  清热解毒 宣肺泄热 治疗流行性感冒,100011271368
93,￥23.00,"已购买商品	
以岭连花清瘟胶囊0.35g*36粒 清瘟解毒 宣肺泄热  流行性感冒",3027228
94,￥27.80,华森 甘桔冰梅片36片 柑橘冰梅片咽干咽痛嗓子疼声音嘶哑咽炎药品甘菊柑桔冰梅片,5482417
95,￥3.50,玉威 对乙酰氨基酚片 0.3g*24片/盒感冒退烧药成人止痛止疼药牙疼牙痛药头疼头痛药偏头疼去痛片痛经,100051614687
96,￥22.00,【自营】桂附地黄丸治肾阳虚六位浓缩丸温补肾阳补肾壮阳药,100021207688
97,￥3.90,"
澹生堂守诚堂制药小黑膏远红外风湿关节炎痛贴腰椎颈椎肩周疼痛冷敷贴大药房花红药业跌打损伤小黑膏",100037816520
98,￥13.50,小快克 小儿氨酚黄那敏颗粒4g*10袋 缓解儿童普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状,3201114
99,￥51.90,益美佳 奥利司他胶囊60mg*21粒 用于18岁及以上成人体重超重(体重指数≥24)患者的治疗,100014412273
100,￥7.00,太极藿香正气口服液10ml*2支藿香正气液不含酒精儿童可用暑湿感冒呕吐泄泻风寒胃肠感冒防中暑解暑,100097207664
101,￥15.00,仁和 布洛芬缓释胶囊22粒/盒止痛药痛经退烧药成人牙痛肌肉关节痛神经痛头痛偏头痛感冒发热,100007160491
102,￥19.90,【自营】恩威 藿香正气合剂水口服液12支霍香正气水不含酒精荷香晕车药拉肚子药腹泻中暑解暑防暑药头痛,7927614
103,￥22.80,北京同仁堂 五子衍宗丸 水蜜丸 60g/瓶 补肾益精 肾虚精亏所致的阳痿不育腰痛尿后余沥,2943748
104,￥60.50,云南白药气雾剂 云南白药气雾剂每瓶重50g云南白药气雾剂保险液每瓶重60g活血散瘀消肿止痛用于跌打损伤瘀血肿痛肌肉酸痛及风湿疼痛,2812183
105,￥17.50,三精 双黄连口服液10ml*10支疏风解表 清热解毒 风热感冒所致的发热咳嗽咽痛,100004792119
106,￥27.00,[施慧达] 苯磺酸左氨氯地平片2.5mg*14片/盒,4217528
107,￥9.90,仁和盐酸特比萘芬乳膏凝胶12g 治脚气药止痒脱皮烂脚丫抗真菌感染软膏抑菌杀菌皮肤用药手足癣体股癣花斑癣,100042330778
108,￥24.50,马应龙麝香栓1.5g*12粒大便出血灼热疼痛,100016568244
109,￥31.40,洛芙联苯苄唑溶液喷雾剂60ml治疗脚气药止痒脱皮烂脚丫真菌感染止痒去脚气喷剂脚臭喷雾脚出汗水泡的特i效皮肤用药,100012792970
110,￥59.90,敖东 安神补脑液10ml*40支 用于肾精不足、气血两亏所致的头晕、乏力、健忘、失眠;神经衰弱症见上述证候者,5633097
111,￥29.00,[白云山金戈] 枸橼酸西地那非片 50mg*1片/盒,100011361136
112,￥7.80,葵花 复方氨酚烷胺胶囊 12粒 普通感冒流感 发热头痛四肢酸痛打喷嚏流鼻涕鼻塞咽痛,100012783347
113,￥9.90,丽芙甲硝唑凝胶10g/盒买4赠壬二酸15%凝胶甲硝锉凝胶祛痘印修复淡化痘印痘坑修复药膏痤疮去痘痘和痘印,100010444449
114,￥14.80,江中乳酸菌素片64片 益生菌肠胃消化用药肠炎 拉肚子,8676590
115,￥10.60,恒医森蒲地蓝消炎片0.31g*13片/板*4板/盒镇痛消炎药浦地消炎片成人感冒药喉咙痛咽炎扁桃体炎,100041828260
116,￥140.00,发迹生发喷雾米诺地尔酊90ml/瓶5%浓度男女性防脱育发液发际线快速增长治疗斑秃脂溢性严重脱发白发药品搽剂,100005814200
117,￥39.80,慢严舒柠咽炎15片×6板 养阴润肺清热解毒 清利咽喉镇咳止痒 用于慢性咽炎引起咽干，咽痒，刺激性咳嗽,4291541
118,￥10.90,999三九咽炎片0.26g*12片*4板/盒  养阴润肺清热解毒清利咽喉镇咳止痒 用于慢性咽炎引起咽干咽痒刺激性咳嗽,100025874706
119,￥8.00,迪泰 藿香正气水霍香口服液荷香10ml*8支  解表化湿外感风寒暑湿感冒头晕头痛恶心呕吐腹泻防中暑解暑,100047704358
120,￥29.00,特一 止咳宝片 宣肺祛痰 止咳平喘 咳嗽感冒痰多 干咳 慢性支气管炎 上呼吸道感染24片,3332112
121,￥64.90,硬核医生 盐酸特比萘芬喷雾剂70ml 治疗脚气药脱皮烂脚丫真菌感染止痒去脚气喷剂脚臭脚出汗水泡的特i效,100073516131
122,￥32.20,"
北京同仁堂痔疮膏凝胶 内外混合痔疮专用肛门痛瘙痒药粘膜充血便秘男女通用",100052062508
123,￥56.00,[金戈伟哥] 枸橼酸西地那非片 25mg*3片/盒,100011361152
124,￥40.00,[小爱丸] 枸橼酸西地那非片50mg*14片/盒,100061190255
125,￥10.80,太平阿西阿昔洛韦乳膏16g软膏凝胶分散片带状嘴唇生殖单纯嘴角疱疹清上火防复发抗病毒水痘药膏止痒外用药,100088677282
126,￥49.00,【560丸大规格】仲景六味地黄丸滋阴补肾阴腰膝酸软,100033004834
127,￥1.00,[恒健] 四环素软膏3%*10g/支,100020155091
128,￥10.60,葵花小儿氨酚烷胺颗粒6g*12袋 缓解感冒引起的发热 头痛 打喷嚏鼻塞 四肢酸痛 流鼻涕 咽痛,3108278
129,￥18.80,"
【药房同款】医用唇炎药专用润唇膏慢性唇炎嘴唇干裂脱皮修复口角嘴唇上火起泡可搭配沪药三草油唇膏儿童成人孕妇可用10g",100066709087
130,￥16.80,药王孙真人 参苓白术丸非散剂 6g*10袋 健脾祛湿调理脾胃虚弱补脾健胃成人人参健脾丸颗粒湿气重药,100023108440
131,￥9.90,"
云南白药  医用碘伏消毒液棉棒 50支 碘伏棉棒 消毒棉签新生儿婴儿护脐带肚脐消毒护理碘酊碘酒棉签",100028299331
132,￥14.80,江中乳酸菌素片64片 益生菌肠胃消化用药肠炎 拉肚子,8676590
133,￥36.40,楚迪 盐酸阿莫罗芬乳膏 0.25%*30g/盒脚气药止痒脱皮烂脚丫真菌感染止痒去脚气喷剂脚臭喷雾脚气药.脚臭.脚出汗.水泡,100065317282
134,￥96.00,九芝堂 六味地黄丸（浓缩丸）618丸*2盒 滋阴补肾 肾阴亏损 非处方药 头晕耳鸣腰膝酸软骨蒸潮热盗汗,100019482476
135,￥3.90,辰欣 红霉素眼膏0.5% *2g/支/盒 用于沙眼、眼睑缘炎及眼外部感染,8049204
136,￥119.00,[金戈伟哥] 枸橼酸西地那非片 50mg*5片/盒,3470658
137,￥52.00,万艾可 枸橼酸西地那非片 25mg*2片,100014238988
138,￥19.90,丽芙盐酸西替利嗪片10mg*18片 季节性 常年过敏性鼻炎,100054607966
139,￥95.00,九芝堂 六味地黄丸（浓缩丸）618丸*3盒 滋阴补肾 肾阴亏损 非处方药 头晕耳鸣腰膝酸软骨蒸潮热遗精,100014802919
140,￥33.00,[杰士邦] 盐酸达泊西汀片30mg*3片/盒,100025936119
141,￥7.00,太极藿香正气口服液10ml*2支藿香正气液不含酒精儿童可用暑湿感冒呕吐泄泻风寒胃肠感冒防中暑解暑,100097422628
142,￥36.80,幸福科达琳 儿童复方氨酚肾素片 12片/盒 缓解普通感冒 流行性感冒发热头痛四肢酸痛打喷嚏流鼻涕鼻塞咽痛,100047593310
143,￥65.80,伊可新维生素AD滴剂（胶囊型）50粒0-1岁 维生素ad滴剂 用于预防和治疗维生素A及D的缺乏症,3359768
144,￥12.00,恒医森 布洛芬缓释胶囊0.3g*27粒 感冒药镇痛退烧,100050251057
145,￥15.00,999 必无忧 盐酸特比萘芬喷雾剂35ml 脚气药止痒脱皮烂脚丫真菌感染止痒脚气喷剂 足癣 脚臭 脚出汗 水泡,100035276788
146,￥8.00,百灵鸟 贵州百灵 维C银翘片0.5g*24片 咽喉疼痛 疏风解表 清热解毒 外感风热 流行性感冒咳嗽 发热头痛,100015895686
147,￥43.60,发迹生发喷雾米诺地尔酊28ml/瓶5%浓度男女性防脱育发液发际线快速生长治疗斑秃脂溢性严重脱发白发药品搽剂,100040885599
148,￥17.00,"
扁平疣寻常丝状疣去 疣灵肉粒专用非药男疣体脱落膏咪奎喹膜莫特软膏5%乳膏跖疣去除脖子小肉粒尖锐湿疣夫密码",100080329236
149,￥42.00,[济川药业(JUMPCAN)] 蒲地蓝消炎口服液10ml*10支/盒,4148202
150,￥123.00,楚甲盐酸阿莫罗芬搽剂灰指甲京东自营正品旗舰店,100010055142
151,￥10.90,润怡 玻璃酸钠滴眼液 5支装 人工泪液 缓解干眼 隐形眼镜适用,100035927066
152,￥56.80,京都念慈菴蜜炼川贝枇杷膏300ml 润肺化痰 止咳平喘 护喉利咽 生津补气 调心降火,3119481
153,￥85.00,[波立维] 硫酸氢氯吡格雷片75mg*28片/盒,100042624124
154,￥322.00,汇仁肾宝片0.7g*126片 温阳补肾 扶正固本 腰腿酸痛 精神不振 夜尿频多 畏寒怕冷 妇女白带清稀,100005577526
155,￥41.90,九芝堂 足光散40g*5袋*3盒清热燥湿杀虫敛汗 用于湿热下注所致的角化型手足癣脚臭脚气药止痒脱皮烂脚丫真菌感染止痒,100012060097
156,￥79.50,健民便通胶囊便秘药长期便秘反复便秘润肠通便健脾益肾,100021182964
157,￥7.50,神威 复方氨酚那敏颗粒 20袋 用于普通感冒及流行性感冒引起的发热头痛四肢酸痛打喷嚏鼻塞咽痛,100010960317
158,￥60.00,同仁堂 大山楂丸 9g*10丸*5盒 开胃消食 食积内停 食欲不振 消化不良 脘腹胀闷,100011157637
159,￥5.80,普林松 通窍鼻炎片12片*4板 过敏性鼻炎慢性鼻炎鼻塞鼻窦炎流涕,100015896086
160,￥13.50,白云山 何济公阿咖酚散 100包 用于普通感冒或流行感冒引起的发热也用于缓解轻至中度疼痛,2874485
161,￥7.50,[左克] 盐酸左氧氟沙星胶囊0.1g*12粒/盒,4320799
162,￥172.50,【官方正品】健民牌便通胶囊治疗便秘润肠通便,100020530649
163,￥1.54,[远恒] 氧氟沙星滴眼液 8ml:24mg*8ml/支/盒,100080435878
164,￥58.50,[劲立] 酮洛芬贴片7cm*10cm*3片,100073719518
165,￥19.50,3盒装恒医森 氯雷他定片14片鼻炎药抗过敏荨麻疹过敏性结膜炎鼻炎流涕喷嚏口服用药鼻炎药非息斯敏,100092289726
166,￥29.90,百多邦 莫匹罗星软膏2%*15g  脓疱病疖肿毛囊炎湿疹 中美史克,100041734443
167,￥41.20,伊可新维生素AD滴剂（胶囊型）30粒0-1岁 用于预防和治疗维生素A及D的缺乏症,2856265
168,￥12.90,999三九小儿感冒颗粒6g*10袋儿童感冒药 风热感冒,2943904
169,￥6.70,仁济堂 逍遥丸 200丸/瓶 疏肝健脾 养血调经  肝气不舒 月经不调 胸胁胀痛 头晕目眩 食欲减退,100058873983
170,￥42.50,得每通 胰酶肠溶胶囊 0.15g*20粒 用于消化不良 ,100004363708
171,￥34.00,国风红源达多糖铁复合物胶囊 0.15g*10粒 治疗单纯性缺铁性贫血,2935848
172,￥7.80,江中 利活乳酸菌素片32片益生菌（成人儿童通用） 肠胃消化 便秘药 调理肠胃 调节菌群 腹泻 拉肚子,3029177
173,￥224.00,奥泰灵 盐酸氨基葡萄糖胶囊 0.75g*180粒 氨糖 治疗和预防全身所有部位的骨关节炎,100018094294
174,￥25.00,【京东自营】生脉饮（党参方）口服液非人参红参黄芪精颗粒15支 补气血女补气养血气血两虚调理心悸气短,100035098667
175,￥7.50,天龙 克林霉素甲硝唑搽剂 40ml/瓶*1瓶/盒 用于寻常痤疮 也可用于脂溢性皮炎及酒渣鼻,100001512004
176,￥25.00,九芝堂 知柏地黄丸（浓缩丸）360丸 滋阴降火 非处方药 阴虚火旺 潮热盗汗 口干咽痛 耳鸣遗精 小便短赤,3008755
177,￥78.00,OKMAN 艾时达 盐酸达泊西汀片 30mg*14片/盒,100063167766
178,￥45.80,泰诺安氨酚拉明片20片止痛药止疼药去痛片牙疼特效头疼止痛夜片失眠泰诺林偏头痛感冒药退烧药对乙酰氨基酚片,100068807746
179,￥10.80,"
雷恩贝晕车贴儿童百药堂成人耳后防晕车神器晕船晕机止呕吐头晕膏贴 18贴",100024574366
180,￥20.57,嘉效 盐酸特比萘芬乳膏30g,100040794795
181,￥8.80,[倍他乐克] 酒石酸美托洛尔片25mg*20片/盒,4082738
182,￥35.00,[玫满] 盐酸米诺环素胶囊0.1g*10粒/盒,4158918
183,￥1.80,[恒健] 甲紫溶液1%*20ml/盒,100035276792
184,￥7.00,汉立瑞 盐酸氨溴索口服溶液 100ml 0.3% 急慢性支气管炎引起的痰液粘稠咳痰困难,100039328210
185,￥18.00,3盒装 太极通宣理肺丸（浓缩丸）32丸*2板 宣肺止嗽 风寒感冒咳嗽咯痰不畅 发热恶寒 鼻塞流涕 头痛 肢体酸痛,100058993307
186,￥31.40,【热销2500w+瓶】联苯苄唑溶液喷雾剂60ml 去脚气脚臭止痒脱皮烂脚丫,100053779664
187,￥2.90,马应龙 红霉素软膏1%*10g 脓包皮肤感染痘痘痤疮杀菌消炎烫伤烧伤外用,100020254459
188,￥59.00,"
尾崎制药疣清宁疣体脱落膏丝状疣尖锐湿疣跖疣扁平疣药专用品 男性医用清疣敷料",100078446088
189,￥16.90,荆江源 JRSPH 安乐片 0.3g*60片 舒肝解郁安神用于精神抑郁失眠胸闷不适纳少神疲更年期综合征,8463213
190,￥25.20,三康 维尔固 盐酸氨基葡萄糖胶囊0.24g*90粒 氨糖治疗和预防全身所有部位的骨关节炎缓解关节疼痛肿胀,3538708
191,￥5.50,道君 蒲地蓝消炎片  0.25g*30片 清热解毒抗炎消肿  咽炎扁桃体炎,100076836267
192,￥22.80￥18.00,珍视明 萘敏维滴眼液  缓解眼睛疲劳 结膜充血结膜炎,7961851
193,￥19.80,恩威 洁尔阴洗液180ml/瓶 妇科专科用药霉菌性阴道炎消炎药凝胶妇科炎症私处洗剂止痒杀菌外阴部瘙痒,6720228
194,￥7.80,江中 复方草珊瑚含片48片 喉宝 非西瓜霜 咽炎片 咽喉炎 润喉片 急性咽喉炎 声音嘶哑 咽喉肿痛,3116843
195,￥14.90,史克肠虫清 阿苯达唑片 0.2g*10片 用于蛔虫病 蛲虫病,2972024
196,￥25.00,九芝堂 归脾丸(浓缩丸)360丸 益气健脾 养血安神 头晕心悸,100007574467
197,￥39.00,"
【云南本草】云标堂 汗疱疹药监备案抑菌膏手上痒起小水泡专用膏季节性手脱皮止瘙痒膏手癣真菌感染",100074479496
198,￥29.80,3件8折】玉屏风口服液玉屏风散颗粒中成药儿童止汗药补气益气虚汗停颗粒含黄芪搭配生脉饮口服液12支,100000424153
199,￥9.00,万岁 复方氨酚那敏颗粒 50袋 缓解普通感冒及流行性感冒引起的发热 头痛 四肢酸痛 打喷嚏 流鼻涕 鼻塞 咽痛,100034751247
200,￥38.00,达克宁喷剂盐酸特比萘芬喷雾剂60ml脚气药.脚臭.脚出汗.水泡型脚气脚痒水泡脱皮烂脚丫脚臭喷雾治脚气,100013371674
201,￥33.90,仙特明 盐酸西替利嗪片10mg*10片/盒 过敏性鼻炎常年性过敏性鼻炎过敏性结膜炎及过敏引起的瘙痒和荨麻疹,8676724
202,￥19.90,扶他林 双氯芬酸二乙胺乳胶剂 1%*20g*1盒 用于缓解肌肉软组织和关节的轻至中度疼痛,100011199100
203,￥119.00,[必利劲] 盐酸达泊西汀片30mg*3片/盒,3560752
204,￥38.90,江中 健胃消食片160片成人 消化不良 肠胃药 脾胃虚弱,3508890
205,￥178.00,万艾可 枸橼酸西地那非片 50mg*5片,100006214111
206,￥38.40,[艾战] 他达拉非片20mg*4片*3板/盒,100065039783
207,￥8.00,良福 维A酸乳膏0.1%*15g维a酸去黑头粉刺闭口黑色素鸡皮肤青春痘痤疮祛痘膏消炎痘印软膏钦膏,100000198712
208,￥22.90￥22.00,达克宁软膏硝酸咪康唑乳膏20g去脚气药止痒脱皮烂脚丫真菌感染止痒脚气膏脚痒杀菌止痒膏治疗脚气药膏藓膏,2943802
